"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Kaposi sarcoma-associated herpesvirus infection",1.72318127777046,3.65590829410579e-05,0.000281223714931215,"Up",160,"Gabarap;Ccr4;H2-Q10;Csf2;Bax;H2-Q6;H2-K1;Mapk13;Ccr1;Lyn;Cd200r1;Gng2;Gabarapl2;Fgf2;Ifngr1;H2-M2;Ikbkb;Nfkbia;Ccr3;Gnb5;Fos;Src;C3;Il6;H2-M3;Ppp3ca;Cd86;Tradd;Hras;H2-Q7;Hck;Ccnd1;Plcg2;H2-D1;Cxcl2;Calm1;Ikbke;Icam1;Traf2;Gnb1;H2-Q4;Map2k2;Becn1;Zfp36;Ubb;Nfkb1;Gnb2;Fas;Cycs;Ifnar2;Atg3;Pik3cb;Pik3r2;H2-T22;Jak2;H2-Q2;Prex1;H2-T23;Ppp3cc;Casp8;Gngt2;Rela;Mapkapk2;Mapk3;Nfatc2;Tlr3;H2-Q1;H2-T-ps;Tyk2;Gng5;Ticam1;Map2k1;Calm2;Cdkn1a;H2-T10;Fadd;Stat2;Tbk1;Raf1;Pik3c3;Ifnar1"
"Cardiac muscle contraction",1.94049707741605,4.51972474962229e-05,0.000330711567045533,"Up",54,"Cacna1d;Tnni3;Ryr2;Cacnb3;Cox6a1;Cox7a2;Cox8a;Cacng4;COX1;Cox6c;CYTB;Cox5a;Cox4i1;Tpm3;Cox7b;Cox4i2;Uqcrq;Cacna1s;Uqcrh;Cox6b1;Uqcr10;Tpm2;Cox7a2l;Tpm1;Tpm4;Uqcrfs1;Cyc1"
"Graft-versus-host disease",1.97606814580778,4.44002275420348e-05,0.000330711567045533,"Up",41,"Gzmb;H2-Oa;Tnf;H2-Q10;H2-DMb2;Cd80;H2-Q6;H2-K1;Il1b;H2-M2;H2-Eb1;H2-Aa;Il6;H2-M3;Cd86;H2-Q7;H2-Ab1;H2-D1;H2-DMb1;H2-Q4;Prf1;Fas;H2-T22;H2-Q2;H2-T23"
"Ribosome",1.7584512387432,5.00754560756778e-05,0.000357681829111984,"Up",128,"Rpl30;Rpl8;Rpl34;Rpsa;Rplp1;Rps11;Rps21;Rps24;Rpl13;Rps14;Rpl36al;Rpl23;Rpl39;Rpl22;Mrpl33;Rps9;Rps19;Rpl37a;Rps18;Rps5;Rps15;Rplp2;Mrpl10;Rpl3l;Rpl4;Mrpl13;Rpl41;Rpl27a;Rps8;Rps20;Rps15a;Rpl14;Rpl26;Rps3;Rpl37;Mrps18a;Rpl7;Mrps21;Mrps9;Rps3a1;Rpl22l1;Mrpl24;Rpl32;Rps26;Rpl13a;Rpl19;Mrps14;Rpl35a;Rps10;Mrps6;Rpl38;Rsl24d1;Mrpl30;Mrps15;Mrpl18;Rps27l;Mrps12;Mrpl12;Rps7;Mrpl14;Mrpl28;Rpl17;Mrps18c;Mrpl27;Mrpl32;Mrpl20;Rps25;Rpl18;Rpl11;Rpl18a;Mrpl2;Mrpl22;Rpl31;Mrps10;Mrpl21;Mrpl15;Rpl35;Mrps16;Rps28;Rpl36a"
"Legionellosis",1.94602664177161,5.19481513436677e-05,0.000362428962862798,"Up",48,"Itgam;Tnf;Naip5;Eef1g;Il1b;Casp1;Nfkbia;Naip2;Itgb2;Naip6;C3;Il6;Tlr2;Myd88;Cxcl2;Hspa1b;Sec22b;Hspa1a;Bnip3;Sar1a;Vcp;Nfkb1;Cycs"
"Autoimmune thyroid disease",1.98792180900546,5.34830488008626e-05,0.000364657150914973,"Up",37,"Gzmb;H2-Oa;H2-Q10;H2-DMb2;Cd80;H2-Q6;H2-K1;H2-M2;Il4;H2-Eb1;H2-Aa;H2-M3;Cd40;Cd86;H2-Q7;H2-Ab1;H2-D1;H2-DMb1;Il5;H2-Q4;Prf1;Fas;Tg;H2-T22;H2-Q2;H2-T23"
"ECM-receptor interaction",1.89943517745489,6.26575025647567e-05,0.000417716683765045,"Up",56,"Lama5;Sdc4;Itgb5;Spp1;Col4a1;Col4a2;Npnt;Chad;Itgb7;Sv2c;Col6a1;Col6a2;Tnn;Vwf;Itga3;Itgb3;Lamc3;Cd36;Tnc;Sdc1;Lamb1;Itgav;Lamc2;Sv2b;Lamc1;Itga2b"
"C-type lectin receptor signaling pathway",1.79842720924149,6.50163655318334e-05,0.000424019775207609,"Up",96,"Tnf;Ccl22;Bcl3;Arhgef12;Clec1b;Ccl17;Mapk13;Relb;Il23a;Lsp1;Rras;Il1b;Casp1;Ikbkb;Nfkbia;Clec7a;Bcl10;Src;Clec4n;Il6;Egr3;Plk3;Ppp3ca;Hras;Plcg2;Calm1;Mras;Ikbke;Card9;Ksr1;Egr2;Nfkb1;Cyld;Pik3cb;Clec4d;Pik3r2;Ppp3cc;Casp8;Rela;Irf1;Mapkapk2;Mapk3;Nfatc2;Fcer1g;Mdm2"
"Allograft rejection",1.96389241021414,7.18038882070005e-05,0.000458322690682982,"Up",38,"Gzmb;H2-Oa;Tnf;H2-Q10;H2-DMb2;Cd80;H2-Q6;H2-K1;H2-M2;Il4;H2-Eb1;H2-Aa;H2-M3;Cd40;Cd86;H2-Q7;H2-Ab1;H2-D1;H2-DMb1;Il5;H2-Q4;Prf1;Fas;H2-T22;H2-Q2;H2-T23"
"Th1 and Th2 cell differentiation",1.83823280331253,8.39655705588463e-05,0.000524784815992789,"Up",80,"Ifngr2;H2-Oa;Zap70;Il12rb1;Il4ra;H2-DMb2;Maf;Mapk13;Ifngr1;Ikbkb;Il4;Nfkbia;H2-Eb1;Dll1;Gata3;Fos;H2-Aa;Prkcq;Ppp3ca;Il2rg;Stat4;Jag1;H2-Ab1;Il2rb;H2-DMb1;Il5;Il13;Notch2;Nfkb1;Nfkbib;Jak2;Runx3;Ppp3cc;Rbpj;Rela;Jak3;Mapk3;Lat;Nfatc2"
"JAK-STAT signaling pathway",1.74384511767354,8.72549076289825e-05,0.000534213720177444,"Up",115,"Ifngr2;Osm;Csf2;Il12rb1;Il10rb;Il4ra;Pim1;Lif;Il10ra;Ptpn2;Csf2rb2;Socs1;Ccnd3;Cish;Il23a;Ifngr1;Csf2rb;Il4;Il23r;Lifr;Il6;Il2rg;Hras;Il9r;Ifnlr1;Stat4;Ccnd1;Il2rb;Leprot;Il22;Il11ra1;Mcl1;Bcl2l1;Csf3r;Il5;Socs2;Il13;Il27ra;Bcl2;Crlf2;Ifnar2;Il3ra;Il15ra;Pik3cb;Ccnd2;Pik3r2;Jak2"
"Leishmaniasis",1.88249285119019,0.000100259289398874,0.000589935313692321,"Up",60,"Itgam;Cyba;Ncf4;Ifngr2;H2-Oa;Tnf;H2-DMb2;Mapk13;Il1b;Ifngr1;Il4;Nfkbia;Itgb2;H2-Eb1;Fos;C3;H2-Aa;Tlr2;Myd88;Irak4;H2-Ab1;H2-DMb1;Cybb"
"Type I diabetes mellitus",1.93502896096357,0.000100289003327695,0.000589935313692321,"Up",41,"Cpe;Lta;Gzmb;H2-Oa;Tnf;H2-Q10;H2-DMb2;Cd80;H2-Q6;H2-K1;Il1b;H2-M2;H2-Eb1;H2-Aa;H2-M3;Cd86;H2-Q7;H2-Ab1;H2-D1;H2-DMb1"
"Toxoplasmosis",1.77987026651494,0.000125878990705941,0.000726224946380427,"Up",97,"Lama5;Ifngr2;H2-Oa;Tnf;Alox5;Il10rb;H2-DMb2;Il10ra;Mapk13;Socs1;Ly96;Ifngr1;Ikbkb;Nfkbia;Lamc3;H2-Eb1;H2-Aa;Tlr2;Myd88;Cd40;Irak4;H2-Ab1;Ciita;H2-DMb1;Gnao1;Birc3;Bcl2l1;Hspa1b;Map2k3;Igtp;Lamb1;Hspa1a;Bcl2;Lamc2;Lamc1;Nfkb1;Cycs;Nfkbib"
"Small cell lung cancer",1.79634682735609,0.000129388890908915,0.000732389948541026,"Up",82,"Lama5;Gadd45g;Cdkn2b;Col4a1;Col4a2;Traf1;Gadd45b;Ptk2;Bax;Itga3;Ikbkb;Nfkbia;Rxrg;Lamc3;Gadd45a;Rxra;Ccnd1;Traf5;Birc3;Bcl2l1;Lamb1;Itgav;Traf2;Bcl2;Lamc2;Lamc1;Itga2b;Nfkb1;Cycs;Pik3cb;Pik3r2"
"Pathways in cancer",1.47286162211777,0.000148442323510317,0.000824679575057318,"Up",419,"Lama5;Ret;Gadd45g;Cdkn2b;Col4a1;Fzd6;Col4a2;Epas1;Cdkn2a;Bmp4;Ifngr2;Traf1;Hmox1;Il12rb1;Il4ra;Pim1;Gadd45b;Arhgef12;Ptk2;Bax;Flt3l;Arnt2;Adcy4;Csf2rb2;F2r;Ccnd3;Il23a;Gng2;Pgf;Ednrb;Fgf2;Adcy1;Itga3;Ifngr1;Csf2rb;Ikbkb;Runx1t1;Gstp2;Il4;Bbc3;Nfkbia;Il23r;Rxrg;Hey1;Lamc3;Mgst2;Gadd45a;Slc2a1;Hsp90b1;Igf1;Gnb5;Dll1;Fos;Tpm3;Arhgef11;Dapk2;Il6;Ctnna1;Il2rg;Rasgrp4;Ptger2;Hras;Flt3;Stat4;Csf1r;Rxra;F2;Jag1;Pparg;Zbtb16;Ccnd1;Plcg2;Traf5;Il2rb;Calm1;Mmp9;Wnt10b;Tgfbr2;Birc3;Rasgrp3;Foxo1;Bcl2l1;Mgmt;Csf3r;Fzd10;Igf2;Il5;Lamb1;Itgav;Il13;Traf2;Gnb1;Eloc;Bcl2;Lamc2;Kit;Cebpa;Bcl2l11;Map2k2;Prkcg;Gsto2;Rara;Fgfr3;Rac2;Rbx1;Lamc1;Elob;Itga2b;Notch2;Vhl;Nfkb1;Ralgds;Dapk3;Cdh1;Gnb2;Fas;Cycs;Ifnar2;Il3ra;Il15ra;Pik3cb;Lpar1;Pim2;Ccnd2;Pik3r2;Ptger4;Jak2;Ar"
"Protein processing in endoplasmic reticulum",1.68066788344986,0.000159844865882852,0.000871881086633737,"Up",149,"Selenos;Bax;Dnajb11;Erp29;Rad23a;Casp12;Rpn1;Dad1;Wfs1;Ube2g2;Pdia6;Cryaa;Sil1;Hsp90b1;Cryab;Atf4;Capn1;Bcap31;Hspa5;Derl2;Ddit3;Fbxo6;Derl3;Herpud1;Pdia3;Man1c1;Derl1;Tram1;Bag1;Ube2j2;Hspa1b;Erlec1;Capn2;Pdia4;Ssr4;Rpn2;Hspa1a;Traf2;Bcl2;Amfr;Rbx1;Dnajb1;Sar1a;Vcp;Edem2;Map3k5;Mogs;Ufd1;Sec61b;Rnf185;Ppp1r15a;Dnaja1;Stub1;Calr;Dnajc3;Atf6;Ube2d2a;Sec61a1;Plaa;Rrbp1;Os9;Prkcsh;Sec23b;Uggt1;Dnajb2;Ddost;Sec13;Ube2d3;Dnajc10;Hspa8;Ubxn6;Ube2d1;Lman2;Sec62;Ssr2;Nsfl1c;Ubqln1;Ube2j1;Syvn1;Eif2ak3;P4hb;Xbp1;Sec24d;Bak1"
"Proteasome",1.88731918419017,0.000201189541088502,0.00107780111297412,"Up",46,"Psmc3;Psmd8;Psmd13;Psmb4;Psmb5;Psmb3;Psmb10;Sem1;Pomp;Psme2b;Psmd4;Psmb1;Psmb9;Psma7;Psmb8;Psma2;Psmd2;Psme2;Psmb6;Psma4;Psmd6;Psmc2;Psme1;Psmc1;Psmc5;Psmc6"
"Toll-like receptor signaling pathway",1.79016845962122,0.00024802667877327,0.00130540357249089,"Up",79,"Spp1;Tnf;Tlr9;Cd80;Mapk13;Tlr1;Ly96;Cxcl9;Il1b;Ikbkb;Nfkbia;Irf5;Fos;Il6;Tlr2;Cxcl10;Myd88;Cd40;Cd86;Ccl3;Irak4;Ikbke;Ctsk;Map2k3;Map2k2;Nfkb1;Ifnar2;Pik3cb;Ccl4;Pik3r2;Map3k8"
"Human papillomavirus infection",1.53429356468596,0.00025871534607637,0.00133818282453295,"Up",266,"Lama5;Atp6ap1;Magi1;Itgb5;Spp1;Col4a1;Fzd6;Col4a2;Atp6v0a1;Tnf;H2-Q10;Chad;Itgb7;Creb3;Ptk2;Bax;Atp6v0e;H2-Q6;H2-K1;Col6a1;Col6a2;Ccnd3;Tnn;Prkcz;Vwf;Itga3;Atp6v1b2;H2-M2;Ikbkb;Hey1;Itgb3;Lamc3;Atp6v1f;Creb5;H2-M3;Eif4ebp1;Mfng;Tradd;Hras;Bcap31;Pkm;H2-Q7;Tnc;Jag1;Dlg2;Ccnd1;H2-D1;Atp6v1e1;Wnt10b;Atp6v0d1;Foxo1;Atp6v1g1;Ikbke;Atp6v0d2;Atp6v1h;Atp6v1c1;Fzd10;Rbl2;Lamb1;Itgav;Atp6v0b;Creb3l1;H2-Q4;Lamc2;Map2k2;Crb3;Nfx1;Lfng;Lamc1;Itga2b;Notch2;Scrib;Nfkb1;Fas;Atp6v1g2;Ifnar2;Pik3cb;Ccnd2;Pik3r2;H2-T22;Ptger4"
"Transcriptional misregulation in cancer",1.63738729249474,0.000416268085021312,0.0021166173814643,"Up",137,"Nupr1;Itgam;Gadd45g;Gzmb;Traf1;Csf2;Itgb7;Gadd45b;Ptk2;Bax;Dusp6;Pax5;Maf;Arnt2;Nfkbiz;Nr4a3;Cebpb;Id2;Bcl2a1b;Runx1t1;Rxrg;Il1r2;Ss18;Gadd45a;Bcl2a1d;Igf1;Il6;Cd40;Cd86;Flt3;Csf1r;Rxra;Pparg;Zbtb16;Ddit3;Il2rb;Cebpe;Mmp9;Tgfbr2;Birc3;Foxo1;Bcl2l1;Plau;Mlf1;Pbx3;Cebpa"
"Viral myocarditis",1.78236255150218,0.000498239999792816,0.00249119999896408,"Up",55,"Actb;H2-Oa;H2-Q10;H2-DMb2;Cd80;H2-Q6;H2-K1;H2-M2;Itgb2;H2-Eb1;Sgca;H2-Aa;Cd55;H2-M3;Cd40;Cd86;H2-Q7;H2-Ab1;Ccnd1;H2-D1;H2-DMb1;Icam1;H2-Q4;Rac2;Fyn;Prf1;Cycs;H2-T22;H2-Q2"
"Ferroptosis",1.84436355323736,0.000530963869371262,0.00261129771821932,"Up",36,"Alox15;Hmox1;Trf;Prnp;Gpx4;Sat1;Slc39a8;Slc40a1;Cybb;Acsl5;Tfrc;Fth1;Atg5;Slc3a2;Ftl1;Atg7;Gclc;Vdac3;Acsl4;Slc39a14;Lpcat3;Vdac2;Map1lc3b;Slc11a2"
"Necroptosis",1.66510804848586,0.000610391509319076,0.00295350730315682,"Up",108,"Pygl;Ifngr2;Tnf;Chmp1a;Alox15;Bax;Smpd1;Chmp4b;Pla2g4f;Il1b;Casp1;Ifngr1;Tradd;Capn1;Stat4;Chmp5;Traf5;Chmp2a;Birc3;Cybb;Capn2;Sharpin;Chmp1b;Traf2;Bcl2;Sqstm1;Slc25a4;Cyld;Fas;Ifnar2;Fth1;Cflar;Jak2;Ftl1;Camk2d;Vps4a;Glud1;Casp8;Pygm;Vdac3;Jak3;Chmp3;Pgam5;Tlr3;Stat5b;Rbck1;Ripk1;Tyk2;Glul;Ticam1;Fadd;Vdac2;Camk2a;Stat6;Stat2"
"Rap1 signaling pathway",1.5996900962541,0.00063358975479584,0.00301709407045638,"Up",156,"Actb;Itgam;Magi1;Dock4;Kdr;Pfn1;Vasp;Adcy4;F2r;Mapk13;Tln2;Rras;Pgf;Fgf2;Prkcz;Adcy1;Rap1b;Prkd2;Itgb3;Itgb2;Igf1;Src;Id1;Pfn2;Rgs14;Skap1;Arap3;Hras;Csf1r;P2ry1;Csf1;Calm1;Mras;Gnao1;Rasgrp3;Adora2b;Map2k3;Kit;Map2k2;Prkcg;Rapgef4;Fgfr3;Rac2;Itga2b;Sipa1;Ralgds;Cdh1;Pik3cb;Lpar1;Pik3r2;Rap1a;Cdc42;Lcp2"
"Prion diseases",1.85657600899345,0.000808921998838855,0.00379182186955713,"Up",29,"C7;Bax;Egr1;Hc;Casp12;Il1b;Prnp;C1qa;C1qc;Il6;Ncam1;Hspa5;Hspa1a;Map2k2;Sod1;Fyn;Lamc1"
"Pertussis",1.76037186013939,0.000939078819409775,0.00433420993573742,"Up",57,"Itgam;Tnf;Mapk13;Irf8;Ly96;Hc;Il23a;Il1b;Casp1;C1qa;Itgb2;Fos;C1qc;C3;Il6;Myd88;Zp3r;Irak4;Calm1"
"Platelet activation",1.66336465902179,0.000954139096645473,0.00433699589384306,"Up",99,"Actb;Myl12b;Arhgef12;Vasp;Adcy4;F2r;Mapk13;Pla2g4f;Lyn;Tln2;Prkcz;Vwf;Adcy1;Vamp8;Rap1b;Itgb3;Orai1;Src;Fermt3;Ptgir;F2;Ptgs1;Tbxas1;P2ry1;Plcg2"
"Amoebiasis",1.67173477582383,0.00108797864964949,0.00487154619246042,"Up",75,"Lama5;Itgam;Col4a1;Col4a2;Tnf;Csf2;Ptk2;Il1r1;Adcy1;Il1b;Lamc3;Il1r2;Itgb2;Rab7b;Il6;Tlr2;Arg1;Gna15;Lamb1;Lamc2;Prkcg;Serpinb9b;Serpinb9;Col3a1;Arg2;Rab7;Lamc1;Serpinb6a;Nfkb1;Pik3cb;Pik3r2"
"Focal adhesion",1.57829090790861,0.00119027292727212,0.00525120409090639,"Up",154,"Actb;Lama5;Myl12b;Itgb5;Spp1;Col4a1;Col4a2;Chad;Itgb7;Ptk2;Kdr;Vasp;Col6a1;Col6a2;Tln2;Ccnd3;Tnn;Pgf;Vwf;Itga3;Rap1b;Itgb3;Lamc3;Igf1;Flnc;Src;Hras;Tnc;Ccnd1;Ppp1r12c;Birc3;Capn2;Flna;Lamb1;Itgav;Bcl2;Lamc2;Prkcg;Rac2;Mylk3;Fyn;Lamc1;Itga2b;Pik3cb;Ccnd2;Pik3r2;Pak6;Rap1a;Lama3;Cdc42"
"Human T-cell leukemia virus 1 infection",1.53337420511574,0.00124692413643449,0.0054214092888456,"Up",205,"Cdkn2b;Lta;Cdkn2a;H2-Oa;Tnf;H2-Q10;Csf2;H2-DMb2;Creb3;Bax;Il1r1;Adcy4;H2-Q6;H2-K1;Egr1;Polb;Tspo;Tln2;Ccnd3;Relb;Adcy1;H2-M2;Ikbkb;Nfkbia;Il1r2;Itgb2;Slc2a1;H2-Eb1;Fos;Creb5;H2-Aa;Il6;H2-M3;Ppp3ca;Cd40;Il2rg;Hras;Atf4;H2-Q7;H2-Ab1;Ccnd1;H2-D1;Il2rb;H2-DMb1;Tgfbr2;Icam1;Bcl2l1;B2m;Pttg1;Creb3l1;H2-Q4;Map2k2;Zfp36;Nrp1;Egr2;Slc25a4;Nfkb1;Il15ra;Pik3cb;Ccnd2;Pik3r2;H2-T22;H2-Q2;Anapc11;Crtc3;H2-T23;Tgfb1;Calr;Ppp3cc;Crtc2;Vdac3;Adcy7;Rela;Anapc4;Adcy3;Jak3;Ranbp3;Mapk3;Nfatc2;H2-Q1;H2-T-ps;Adcy9;Spi1;Stat5b"
"Leukocyte transendothelial migration",1.6609222174347,0.00156145180627247,0.00669193631259631,"Up",83,"Actb;Itgam;Cyba;Myl12b;Ncf4;Txk;Ptk2;Vasp;Mapk13;Cldn1;F11r;Itk;Rap1b;Itgb2;Ptk2b;Ctnna1;Thy1;Plcg2;Mmp9;Icam1;Cybb;Vcam1;Msn;Prkcg;Rapgef4;Rac2;Sipa1;Pik3cb;Pik3r2;Rap1a;Cdc42;Vav1"
"Hypertrophic cardiomyopathy (HCM)",1.71160889983917,0.00161953407250529,0.0068431017148111,"Up",53,"Actb;Cacna1d;Itgb5;Prkag1;Tnni3;Tnf;Itgb7;Ryr2;Cacnb3;Cacng4;Itga3;Itgb3;Igf1;Sgca;Tpm3;Il6;Cacna1s;Prkaa1;Tpm2;Mgmt;Itgav"
"Glycosphingolipid biosynthesis",1.76881524738183,0.0017428043306047,0.00720730972939397,"Up",33,"Hexa;Gcnt2;St3gal2;St3gal3;Fut7;B4galnt1;Naga;Glb1;B3galt5;St3gal5;Gla;St3gal4;B4galt3;St6galnac5;B3gnt3"
"Relaxin signaling pathway",1.61854167112827,0.0017537787008192,0.00720730972939397,"Up",96,"Arrb2;Col4a1;Col4a2;Creb3;Adcy4;Mapk13;Gng2;Ednrb;Prkcz;Adcy1;Nfkbia;Gnb5;Fos;Creb5;Src;Hras;Atf4;Arrb1;Mmp9;Gna15;Tgfbr2;Gnao1;Rln3;Gnb1;Creb3l1;Map2k2;Col3a1;Nfkb1;Gnb2;Pik3cb;Pik3r2;Tgfb1;Mmp2;Gngt2;Adcy7;Rela;Adcy3;Mapk3"
"Tight junction",1.59683435179253,0.00178684520039808,0.00724396702864087,"Up",114,"Actb;Cacna1d;Igsf5;Magi1;Myl12b;Prkag1;Actr3b;Synpo;Tuba8;Cgnl1;Prkce;Vasp;Cldn1;F11r;Tuba1a;Amotl1;Prkcz;Src;Marveld2;Hcls1;Dlg2;Ccnd1;Tuba1c;Prkaa1;Myh11;Myh10;Tjp1;Arhgap17;Msn;Crb3;Mpp4;Tjp2;Scrib;Actr3;Map3k5"
"Calcium signaling pathway",1.59043029470351,0.00194517325612956,0.00778069302451823,"Up",114,"Cacna1d;P2rx7;P2rx4;Ryr2;Adcy4;F2r;Htr7;Ednrb;Camk4;Atp2a3;Adcy1;Adrb1;Cd38;Orai1;Ptk2b;Orai2;P2rx5;Grin2d;Cysltr1;Ppp3ca;Ptafr;Phkg2;Cacna1s;Plcg2;Pde1c;Hrh1;Calm1;Gna15;Adora2b;Atp2b1;Prkcg;Mylk3;Slc25a4;Cacna1e;Mcu;Camk2d;Chrm3;Cacna1a;Ppp3cc;Vdac3;Adcy7;Adcy3;Stim2;Phka1;Pde1b;Adcy9;Plce1;Calm2;Gnaq;Adra1b;Vdac2;Ryr3;Camk2a"
"Dilated cardiomyopathy (DCM)",1.69287870046656,0.00204953453342223,0.00809026789508775,"Up",57,"Actb;Cacna1d;Itgb5;Tnni3;Tnf;Itgb7;Ryr2;Cacnb3;Adcy4;Cacng4;Adcy1;Itga3;Adrb1;Itgb3;Igf1;Sgca;Tpm3"
"Glutathione metabolism",1.71247452341726,0.0020916811572289,0.00814940710608663,"Up",48,"Ggt5;Ggt1;Gpx1;Gpx8;Ggt7;Gpx7;Gpx3;Gstp2;Anpep;Gpx4;Mgst2;Ggct;Odc1;Gstk1;Hpgds"
"Sphingolipid signaling pathway",1.59671257138694,0.00226420272619157,0.00870847202381371,"Up",103,"Cers5;Adora3;Tnf;Bax;Fcer1a;Smpd1;Prkce;Sptlc1;Mapk13;Ms4a2;Prkcz;Ctsd;Cers4;Pld1;Sgms1;Tradd;Hras;Degs1;Asah1;Traf2;Bcl2;Map2k2;Prkcg;Cers2;Gab2;Rac2;Fyn;Sgpl1;Nfkb1;Map3k5;Pik3cb;Pik3r2;Acer2;Pld2;Sptlc2;S1pr1;Nsmaf;Sgms2;Rela;S1pr3;Mapk3;Fcer1g"
"Collecting duct acid secretion",1.77958439635597,0.00251299331772231,0.0095430125989455,"Up",17,"Atp6v0a1;Atp6v0e;Atp6v1b2;Atp6v1f;Atp6v1e1;Atp6v0d1;Atp6v1g1;Atp6v0d2;Atp6v1c1;Atp6v1g2"
"Systemic lupus erythematosus",1.73063741240782,0.00259794788359094,0.00974230456346603,"Up",35,"C7;H2-Oa;Tnf;H2-DMb2;Cd80;Hc;C1qa;H2-Eb1;C1qc;C3;H2-Aa;Cd40;Cd86;H2-Ab1;H2-DMb1"
"AGE-RAGE signaling pathway in diabetic complications",1.61100202085045,0.00266937541339885,0.00988657560518092,"Up",81,"Col4a1;Col4a2;Tnf;Pim1;Bax;Prkce;Mapk13;Egr1;Prkcz;Il1b;Il6;Hras;Ccnd1;Plcg2;Tgfbr2;Foxo1;Icam1;Cybb;Mgmt;Vcam1;Bcl2;Col3a1;Nfkb1;Pik3cb;Pik3r2;Nox1;Jak2;Cdc42;Tgfb1;Ager;Mmp2;Rela;Mapk3;Stat5b;Diaph1;Plce1"
"Thyroid cancer",1.72611040211673,0.00286036686173144,0.0103386754038486,"Up",35,"Ret;Gadd45g;Gadd45b;Bax;Rxrg;Gadd45a;Tpm3;Hras;Rxra;Pparg;Ccnd1"
"cAMP signaling pathway",1.53872737167918,0.00283405291708181,0.0103386754038486,"Up",135,"Cacna1d;Tnni3;Ffar2;Creb3;Gria2;Ryr2;Adcy4;F2r;Rras;Camk4;Adcy1;Adrb1;Rap1b;Nfkbia;Orai1;Fos;Creb5;Grin2d;Pld1;Arap3;Pde4c;Ptger2;Lipe;Vipr2;Cacna1s;Glp1r;Hcn4;Acox3;Calm1;Hcn2;Atp2b1;Creb3l1;Map2k2;Rapgef4;Rac2;Nfkb1;Pik3cb;Pik3r2;Rap1a;Camk2d;Pld2;Cnga1;Npr1;Vav1;Gabbr2;Pde4a;Adcy7;Htr1b;Rela;Adcy3;Ppp1cc;Mapk3;Adcy9;Atp1b2;Plce1;Tiam1;Bad;Map2k1;Calm2;Ghrl;Camk2a;Gabbr1;Slc9a1;Prkaca;Raf1;Fxyd2"
"DNA replication",-1.79245486876474,0.00300262897594966,0.0105193312942014,"Down",35,"Rfc4;Mcm6;Pole2;Pola1;Rfc5;Mcm2;Pole;Pold2;Prim1;Rfc1;Pola2;Mcm7;Mcm4;Mcm3;Pold1;Pcna"
"MAPK signaling pathway",1.45694927810417,0.00301554163767107,0.0105193312942014,"Up",221,"Cacna1d;Arrb2;Gadd45g;Tnf;Gadd45b;Kdr;Il1r1;Cacnb3;Dusp6;Flt3l;Mapkapk3;Jund;Mapk13;Cacng4;Pla2g4f;Relb;Nr4a1;Rras;Pgf;Fgf2;Il1b;Ikbkb;Rap1b;Gadd45a;Igf1;Flnc;Fos;Myd88;Ppp3ca;Rasgrp4;Tradd;Dusp5;Hras;Atf4;Flt3;Csf1r;Irak4;Ppm1b;Cacna1s;Ddit3;Ptpn7;Dusp1;Map3k4;Rps6ka1;Csf1;Arrb1;Lamtor3;Tgfbr2;Mras;Rasgrp3;Mapk8ip1;Hspa1b;Flna;Igf2;Map2k3;Hspa1a;Traf2;Dusp3;Kit;Map2k2;Prkcg;Fgfr3;Rac2;Cacna1e;Nfkb1;Map3k5;Fas"
"Viral carcinogenesis",1.50499491733312,0.0030056653548415,0.0105193312942014,"Up",167,"Gsn;Cdkn2b;Cdkn2a;Ccr4;Traf1;H2-Q10;Creb3;Bax;Sp100;H2-Q6;H2-K1;Lyn;Polb;Ccnd3;Hpn;H2-M2;Nfkbia;Ccr3;Creb5;Src;C3;Ywhaq;H2-M3;Egr3;Tradd;Hras;Atf4;Pkm;H2-Q7;Ywhaz;Ccnd1;H2-D1;Traf5;Gtf2a2;Atp6v0d1;Atp6v0d2;Rbl2;Traf2;Creb3l1;H2-Q4;Hdac5;Egr2;Scrib;Nfkb1;Pik3cb;Ccnd2;Pik3r2;H2-T22;H2-Q2;Cdc42;H2-T23;Rbpj;Casp8;Vdac3;Psmc1;Ywhab;Rela;Hdac1;Jak3;Mapkapk2;Mapk3;H2-Q1;Mdm2;H2-T-ps;Stat5b;Gtf2h1;Hnrnpk;Bad;Dlg1;Gtf2b;Cdkn1a;Hdac10;H2-T10"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",1.66887957469903,0.00342181406466222,0.0117993588436628,"Up",49,"Actb;Cacna1d;Actn2;Itgb5;Itgb7;Ryr2;Cacnb3;Cacng4;Itga3;Itgb3;Sgca;Ctnna1"
"B cell receptor signaling pathway",1.61006416263374,0.00414357986027463,0.0141258404327544,"Up",68,"Ifitm1;Cd19;Inppl1;Lyn;Ikbkb;Nfkbia;Bcl10;Cd79a;Inpp5d;Fos;Blnk;Ppp3ca;Hras;Pirb;Plcg2;Cd72;Card11;Rasgrp3;Map2k2;Rac2;Cd81;Nfkb1;Pik3ap1;Nfkbib;Pik3cb;Pik3r2"
