"compartment","pathway_id","pathway_name","gene_set_source","gene_set_id","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"broad_T_lineage_candidate_malignant","hsa04140","Autophagy - animal","KEGG","hsa04140","hsa04140 Autophagy - animal",169,"AKT1;AKT1S1;AKT2;AKT3;AMBRA1;ATG10;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG16L2;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BAD;BCL2;BCL2L1;BECN1;BECN2;BIRC6;BNIP3;C9orf72;CALCOCO2;CAMKK2;CFLAR;CTSB;CTSD;CTSL;DAPK1;DAPK2;DAPK3;DDIT4;DEPTOR;EIF2AK3;EIF2AK4;EIF2S1;EPG5;ERN1;GABARAP;GABARAPL1;GABARAPL2;GORASP1;GORASP2;HIF1A;HMGB1;HRAS;IGBP1;IGF1R;INS;IRS1;IRS2;IRS4;ITPR1;KRAS;LAMP1;LAMP2;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3BP1;MAP1LC3C;MAP2K1;MAP2K2;MAP3K7;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MLST8;MRAS;MTMR14;MTMR3;MTMR4;MTOR;NBR1;NRAS;NRBF2;OPTN;P3R3URF-PIK3R3;PDPK1;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PLEKHM1;PPP2CA;PPP2CB;PRAP1;PRKAA1;PRKAA2;PRKACA;PRKACB;PRKACG;PRKCD;PRKCQ;PTEN;RAB1A;RAB33B;RAB39B;RAB7A;RAB7B;RAB8A;RAF1;RB1CC1;RHEB;RPS27A;RPS6KB1;RPS6KB2;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;RRAS;RRAS2;RUBCN;SH3GLB1;SMCR8;SNAP29;SQSTM1;STK11;STX17;STX7;SUPT20H;SUPT20HL1;SUPT20HL2;TANK;TAX1BP1;TBK1;TP53INP2;TRAF6;TSC1;TSC2;UBA52;UBB;UBC;ULK1;ULK2;UVRAG;VAMP8;VMP1;VPS11;VPS16;VPS18;VPS33A;VPS39;VPS41;WDFY3;WDR41;WDR45;WDR45B;WIPI1;WIPI2;YKT6;ZFYVE1",156,169,TRUE,NA,0.955257270693512,0.976967663209274,0.0529129848430583,-0.171792290138439,-0.773593025429336,156,"AKT3;GABARAP;DDIT4;ATG9B;RUBCN;RRAGB;RRAS;TSC2;STX17;WDR45;RRAGA;STX7;SMCR8;RAB33B;TSC1;MAPK10;ATG5;EPG5;PRKCQ;PIK3CD;ATG7;ERN1;TRAF6;AKT1S1;UVRAG;PIK3C3;PPP2CA;LAMP2;C9orf72;VPS39;STK11;ATG4B;MTMR4;ATG13;ZFYVE1;IGBP1;ATG16L2;GABARAPL1;ATG10;PTEN;HMGB1;ATG14;RAB39B;AMBRA1;VPS16;EIF2AK4;UBB;VAMP8;ATG2B;HRAS;PRKAA1","relapse_down"
"CNV_high_top25_candidate","hsa04140","Autophagy - animal","KEGG","hsa04140","hsa04140 Autophagy - animal",169,"AKT1;AKT1S1;AKT2;AKT3;AMBRA1;ATG10;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG16L2;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BAD;BCL2;BCL2L1;BECN1;BECN2;BIRC6;BNIP3;C9orf72;CALCOCO2;CAMKK2;CFLAR;CTSB;CTSD;CTSL;DAPK1;DAPK2;DAPK3;DDIT4;DEPTOR;EIF2AK3;EIF2AK4;EIF2S1;EPG5;ERN1;GABARAP;GABARAPL1;GABARAPL2;GORASP1;GORASP2;HIF1A;HMGB1;HRAS;IGBP1;IGF1R;INS;IRS1;IRS2;IRS4;ITPR1;KRAS;LAMP1;LAMP2;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3BP1;MAP1LC3C;MAP2K1;MAP2K2;MAP3K7;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MLST8;MRAS;MTMR14;MTMR3;MTMR4;MTOR;NBR1;NRAS;NRBF2;OPTN;P3R3URF-PIK3R3;PDPK1;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PLEKHM1;PPP2CA;PPP2CB;PRAP1;PRKAA1;PRKAA2;PRKACA;PRKACB;PRKACG;PRKCD;PRKCQ;PTEN;RAB1A;RAB33B;RAB39B;RAB7A;RAB7B;RAB8A;RAF1;RB1CC1;RHEB;RPS27A;RPS6KB1;RPS6KB2;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;RRAS;RRAS2;RUBCN;SH3GLB1;SMCR8;SNAP29;SQSTM1;STK11;STX17;STX7;SUPT20H;SUPT20HL1;SUPT20HL2;TANK;TAX1BP1;TBK1;TP53INP2;TRAF6;TSC1;TSC2;UBA52;UBB;UBC;ULK1;ULK2;UVRAG;VAMP8;VMP1;VPS11;VPS16;VPS18;VPS33A;VPS39;VPS41;WDFY3;WDR41;WDR45;WDR45B;WIPI1;WIPI2;YKT6;ZFYVE1",149,169,TRUE,NA,0.617647058823529,0.754427030327702,0.0673623868166279,-0.205016546442848,-0.930497218533958,149,"SMCR8;DDIT4;ATG9B;AKT3;RAB33B;PIK3C3;STX7;GABARAP;EPG5;UVRAG;EIF2AK4;TSC1;PRKCD;VPS39;GABARAPL1;ATG10;ITPR1;RRAGB;PRKCQ;ERN1;RRAGA;TRAF6;LAMP2;AMBRA1;VPS11;MTMR4;MAPK10;VPS33A;C9orf72;PIK3R4;PTEN;DAPK1;TSC2;RAB39B;BAD;ATG5;ATG14;AKT1S1;ATG16L2;ATG2B;STX17;WDR45","relapse_down"
"CNV_high_top50_candidate","hsa04140","Autophagy - animal","KEGG","hsa04140","hsa04140 Autophagy - animal",169,"AKT1;AKT1S1;AKT2;AKT3;AMBRA1;ATG10;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG16L2;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BAD;BCL2;BCL2L1;BECN1;BECN2;BIRC6;BNIP3;C9orf72;CALCOCO2;CAMKK2;CFLAR;CTSB;CTSD;CTSL;DAPK1;DAPK2;DAPK3;DDIT4;DEPTOR;EIF2AK3;EIF2AK4;EIF2S1;EPG5;ERN1;GABARAP;GABARAPL1;GABARAPL2;GORASP1;GORASP2;HIF1A;HMGB1;HRAS;IGBP1;IGF1R;INS;IRS1;IRS2;IRS4;ITPR1;KRAS;LAMP1;LAMP2;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3BP1;MAP1LC3C;MAP2K1;MAP2K2;MAP3K7;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MLST8;MRAS;MTMR14;MTMR3;MTMR4;MTOR;NBR1;NRAS;NRBF2;OPTN;P3R3URF-PIK3R3;PDPK1;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PLEKHM1;PPP2CA;PPP2CB;PRAP1;PRKAA1;PRKAA2;PRKACA;PRKACB;PRKACG;PRKCD;PRKCQ;PTEN;RAB1A;RAB33B;RAB39B;RAB7A;RAB7B;RAB8A;RAF1;RB1CC1;RHEB;RPS27A;RPS6KB1;RPS6KB2;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;RRAS;RRAS2;RUBCN;SH3GLB1;SMCR8;SNAP29;SQSTM1;STK11;STX17;STX7;SUPT20H;SUPT20HL1;SUPT20HL2;TANK;TAX1BP1;TBK1;TP53INP2;TRAF6;TSC1;TSC2;UBA52;UBB;UBC;ULK1;ULK2;UVRAG;VAMP8;VMP1;VPS11;VPS16;VPS18;VPS33A;VPS39;VPS41;WDFY3;WDR41;WDR45;WDR45B;WIPI1;WIPI2;YKT6;ZFYVE1",153,169,TRUE,NA,0.611854684512428,0.813881361035833,0.0665892104103933,-0.205936136080964,-0.931980363990777,153,"GABARAP;DDIT4;AKT3;MAPK10;ATG9B;TSC2;SMCR8;VPS39;STX7;STX17;RAB33B;PIK3C3;TSC1;RUBCN;PRKCQ;EPG5;C9orf72;RRAGB;AKT1S1;ATG7;TRAF6;MTMR4;ERN1;RRAS;ATG10;WDR45;EIF2AK4;STK11;LAMP2;VPS33A;GABARAPL1;ATG4B;ATG13;RAB39B;UVRAG;PLEKHM1;VPS16;AMBRA1;PRKCD;RAB1A;ATG2B;ATG5;BAD","relapse_down"
"Cycling_TALL_blast_like","hsa04140","Autophagy - animal","KEGG","hsa04140","hsa04140 Autophagy - animal",169,"AKT1;AKT1S1;AKT2;AKT3;AMBRA1;ATG10;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG16L2;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BAD;BCL2;BCL2L1;BECN1;BECN2;BIRC6;BNIP3;C9orf72;CALCOCO2;CAMKK2;CFLAR;CTSB;CTSD;CTSL;DAPK1;DAPK2;DAPK3;DDIT4;DEPTOR;EIF2AK3;EIF2AK4;EIF2S1;EPG5;ERN1;GABARAP;GABARAPL1;GABARAPL2;GORASP1;GORASP2;HIF1A;HMGB1;HRAS;IGBP1;IGF1R;INS;IRS1;IRS2;IRS4;ITPR1;KRAS;LAMP1;LAMP2;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3BP1;MAP1LC3C;MAP2K1;MAP2K2;MAP3K7;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MLST8;MRAS;MTMR14;MTMR3;MTMR4;MTOR;NBR1;NRAS;NRBF2;OPTN;P3R3URF-PIK3R3;PDPK1;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PLEKHM1;PPP2CA;PPP2CB;PRAP1;PRKAA1;PRKAA2;PRKACA;PRKACB;PRKACG;PRKCD;PRKCQ;PTEN;RAB1A;RAB33B;RAB39B;RAB7A;RAB7B;RAB8A;RAF1;RB1CC1;RHEB;RPS27A;RPS6KB1;RPS6KB2;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;RRAS;RRAS2;RUBCN;SH3GLB1;SMCR8;SNAP29;SQSTM1;STK11;STX17;STX7;SUPT20H;SUPT20HL1;SUPT20HL2;TANK;TAX1BP1;TBK1;TP53INP2;TRAF6;TSC1;TSC2;UBA52;UBB;UBC;ULK1;ULK2;UVRAG;VAMP8;VMP1;VPS11;VPS16;VPS18;VPS33A;VPS39;VPS41;WDFY3;WDR41;WDR45;WDR45B;WIPI1;WIPI2;YKT6;ZFYVE1",154,169,TRUE,NA,0.0213525655412667,0.14423053705233,0.352487857583619,0.305190282208502,1.37648344086564,154,"RRAS2;BCL2;RPS6KB1;WDR45B;PIK3R1;CFLAR;MTMR3;VMP1;DEPTOR;AKT2;ITPR1;DAPK1;ATG4D;WDR41;TAX1BP1;KRAS;IRS1;LAMP1;WIPI1;OPTN;MAP2K1;BIRC6;MAP3K7;RPS27A;NRAS;PIK3R4;YKT6;CALCOCO2;IRS2;BCL2L1;PRKCQ;MAPK9;RB1CC1;SH3GLB1;PRKAA1;RPTOR;PIK3R3;UBC;TP53INP2;GORASP2;ULK2;SUPT20H;RRAGC;HIF1A;PPP2CB;UBA52;CTSL;PIK3CB;BECN1;PLEKHM1;MAPK8;PIK3CA","relapse_up"
"Quiescent_CD44_high_TALL_like","hsa04140","Autophagy - animal","KEGG","hsa04140","hsa04140 Autophagy - animal",169,"AKT1;AKT1S1;AKT2;AKT3;AMBRA1;ATG10;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG16L2;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BAD;BCL2;BCL2L1;BECN1;BECN2;BIRC6;BNIP3;C9orf72;CALCOCO2;CAMKK2;CFLAR;CTSB;CTSD;CTSL;DAPK1;DAPK2;DAPK3;DDIT4;DEPTOR;EIF2AK3;EIF2AK4;EIF2S1;EPG5;ERN1;GABARAP;GABARAPL1;GABARAPL2;GORASP1;GORASP2;HIF1A;HMGB1;HRAS;IGBP1;IGF1R;INS;IRS1;IRS2;IRS4;ITPR1;KRAS;LAMP1;LAMP2;MAP1LC3A;MAP1LC3B;MAP1LC3B2;MAP1LC3BP1;MAP1LC3C;MAP2K1;MAP2K2;MAP3K7;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MLST8;MRAS;MTMR14;MTMR3;MTMR4;MTOR;NBR1;NRAS;NRBF2;OPTN;P3R3URF-PIK3R3;PDPK1;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PLEKHM1;PPP2CA;PPP2CB;PRAP1;PRKAA1;PRKAA2;PRKACA;PRKACB;PRKACG;PRKCD;PRKCQ;PTEN;RAB1A;RAB33B;RAB39B;RAB7A;RAB7B;RAB8A;RAF1;RB1CC1;RHEB;RPS27A;RPS6KB1;RPS6KB2;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;RRAS;RRAS2;RUBCN;SH3GLB1;SMCR8;SNAP29;SQSTM1;STK11;STX17;STX7;SUPT20H;SUPT20HL1;SUPT20HL2;TANK;TAX1BP1;TBK1;TP53INP2;TRAF6;TSC1;TSC2;UBA52;UBB;UBC;ULK1;ULK2;UVRAG;VAMP8;VMP1;VPS11;VPS16;VPS18;VPS33A;VPS39;VPS41;WDFY3;WDR41;WDR45;WDR45B;WIPI1;WIPI2;YKT6;ZFYVE1",132,169,TRUE,NA,0.419540229885057,0.676177447723275,0.0862865626267245,-0.230736911556727,-1.01288337108311,132,"RRAGB;DDIT4;DAPK1;PIK3R3;PTEN;VPS39;ULK1;TSC1;CALCOCO2;TSC2;RUBCN;ATG16L2;MTMR4;STX17;VPS16;ITPR1;ATG2B;PRKACA;ATG4D;PRKAA1;DAPK3;RAB33B;VPS41;EIF2AK4;C9orf72;BIRC6;SUPT20H;ATG10;AMBRA1;PIK3C3;MAPK3;BAD;MTOR;ATG9A;STX7;LAMP2;VMP1;PIK3R4","relapse_down"
"broad_T_lineage_candidate_malignant","hsa04136","Autophagy - other","KEGG","hsa04136","hsa04136 Autophagy - other",32,"ATG10;ATG101;ATG12;ATG13;ATG16L1;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BECN1;BECN2;GABARAP;GABARAPL1;GABARAPL2;IGBP1;MLST8;MTOR;PIK3C3;PIK3R4;PPP2CA;PPP2CB;RPTOR;ULK2;WIPI1;WIPI2",31,32,TRUE,NA,0.320594479830149,0.704939919893191,0.108394255853397,-0.324681781930921,-1.08956306442974,31,"GABARAP;ATG9B;ATG5;ATG7;PIK3C3;PPP2CA;ATG4B;ATG13;IGBP1;GABARAPL1;ATG10","relapse_down"
"CNV_high_top25_candidate","hsa04136","Autophagy - other","KEGG","hsa04136","hsa04136 Autophagy - other",32,"ATG10;ATG101;ATG12;ATG13;ATG16L1;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BECN1;BECN2;GABARAP;GABARAPL1;GABARAPL2;IGBP1;MLST8;MTOR;PIK3C3;PIK3R4;PPP2CA;PPP2CB;RPTOR;ULK2;WIPI1;WIPI2",30,32,TRUE,NA,0.116541353383459,0.299392911347201,0.178219874951973,-0.400190963787103,-1.3362951295557,30,"ATG9B;PIK3C3;GABARAP;GABARAPL1;ATG10;PIK3R4;ATG5;ATG2B;MTOR;ATG3;ATG7;ATG4C;MLST8","relapse_down"
"CNV_high_top50_candidate","hsa04136","Autophagy - other","KEGG","hsa04136","hsa04136 Autophagy - other",32,"ATG10;ATG101;ATG12;ATG13;ATG16L1;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BECN1;BECN2;GABARAP;GABARAPL1;GABARAPL2;IGBP1;MLST8;MTOR;PIK3C3;PIK3R4;PPP2CA;PPP2CB;RPTOR;ULK2;WIPI1;WIPI2",31,32,TRUE,NA,0.256565656565657,0.556669727578818,0.119887845115423,-0.338582895277534,-1.13745009709958,31,"GABARAP;ATG9B;PIK3C3;ATG7;ATG10;GABARAPL1;ATG4B;ATG13;ATG2B;ATG5;IGBP1;MTOR;PPP2CA;ATG4C;PIK3R4;ATG16L1;RPTOR;GABARAPL2","relapse_down"
"Cycling_TALL_blast_like","hsa04136","Autophagy - other","KEGG","hsa04136","hsa04136 Autophagy - other",32,"ATG10;ATG101;ATG12;ATG13;ATG16L1;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BECN1;BECN2;GABARAP;GABARAPL1;GABARAPL2;IGBP1;MLST8;MTOR;PIK3C3;PIK3R4;PPP2CA;PPP2CB;RPTOR;ULK2;WIPI1;WIPI2",31,32,TRUE,NA,0.752577319587629,0.877598307532154,0.0602484086158019,-0.244263525959995,-0.829453093795144,31,"GABARAP;ATG9B;ATG10;ATG4B","relapse_down"
"Quiescent_CD44_high_TALL_like","hsa04136","Autophagy - other","KEGG","hsa04136","hsa04136 Autophagy - other",32,"ATG10;ATG101;ATG12;ATG13;ATG16L1;ATG2A;ATG2B;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG7;ATG9A;ATG9B;BECN1;BECN2;GABARAP;GABARAPL1;GABARAPL2;IGBP1;MLST8;MTOR;PIK3C3;PIK3R4;PPP2CA;PPP2CB;RPTOR;ULK2;WIPI1;WIPI2",26,32,TRUE,NA,0.955102040816327,0.999720946456601,0.048701086452153,-0.197982516356417,-0.627280135793214,26,"ATG2B;ATG4D;ATG10;PIK3C3;MTOR;ATG9A;PIK3R4;ATG7;PPP2CA;GABARAP;IGBP1;RPTOR","relapse_down"
"broad_T_lineage_candidate_malignant","hsa05208","Chemical carcinogenesis - reactive oxygen species","KEGG","hsa05208","hsa05208 Chemical carcinogenesis - reactive oxygen species",227,"ABL1;ABL2;ACP1;AHR;AKR1A1;AKR1C1;AKR1C2;AKR1C3;AKR1C4;AKR1C8;AKT1;AKT2;AKT3;ARAF;ARNT;AS3MT;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6;ATP8;BAD;BRAF;CAT;CBR1;CHUK;COX1;COX2;COX3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6A2;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7B2;COX7C;COX8A;COX8C;COXFA4;COXFA4L2;CYBA;CYC1;CYP1A1;CYP1A2;CYP1B1;CYP2E1;CYP2F1;CYTB;cytochrome c oxidase subunit NDUFA4-like;EGF;EGFR;EPHX1;EPHX2;EPHX3;EPHX4;FOS;FOXO3;GRB2;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTT1;GSTT2;GSTT2B;GSTT4;HGF;HIF1A;HMOX1;HRAS;IKBKB;IKBKG;JUN;KEAP1;KRAS;LPO;MAP2K1;MAP2K2;MAP2K4;MAP2K7;MAP3K14;MAP3K5;MAPK1;MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK3;MAPK8;MAPK9;MET;MGST1;MGST2;MGST3;NCF1;NCF2;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFC2-KCTD14;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NFE2L2;NFKB1;NFKBIA;NOX1;NOX4;NQO1;NRAS;P3R3URF-PIK3R3;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PLD1;PLD2;PPIF;PRKCD;PRKD1;PRKD2;PRKD3;PTEN;PTK2;PTPN1;PTPN11;PTPRJ;RAC1;RAF1;RELA;SDHA;SDHB;SDHC;SDHD;SLC25A31;SLC25A4;SLC25A5;SLC25A6;SLC26A1;SLC26A2;SLC26A6;SLC26A9;SOD1;SOD2;SOS1;SOS2;SRC;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VDAC1;VDAC2;VDAC3;VEGFA",175,227,TRUE,NA,0.00159332521643059,0.0573597077915014,0.45505986738723,0.357138261470925,1.5837398885974,175,"FOS;PTK2;VDAC1;AKR1C2;UQCRHL;ATP5F1B;UQCRH;NDUFC2;NDUFV2;PIK3R3;NDUFA6;NDUFAB1;SOD2;COX7A2L;RELA;AKR1C1;COX5A;GSTA4;COX6C;GRB2;CBR1;SLC25A6;SLC25A4;ATP5MC1;CYC1;COX4I1;SDHB;NDUFA12;ATP5MC3;NDUFA9;VDAC2;MAPK9;ACP1;AKT2;ATP5PF;NDUFS6;SOD1;MAP2K1;ABL2;KEAP1;ATP5F1E;NDUFB7;COX6A1;UQCR11;NFKB1;NDUFB9;NDUFB2;NDUFA13;COX7A2;UQCRQ;COX7C;ATP5F1A;PRKD2;SDHC;ATP5MC2;PIK3CB;PTPN11;ATP5F1C;SLC25A5;HIF1A;NDUFB3;PRKD3;KRAS;UQCRB;GSTO1;COX7B;NDUFS4;NDUFA8;COX8A;NDUFS3;ABL1;ATP5PB;NDUFB11","relapse_up"
"CNV_high_top25_candidate","hsa05208","Chemical carcinogenesis - reactive oxygen species","KEGG","hsa05208","hsa05208 Chemical carcinogenesis - reactive oxygen species",227,"ABL1;ABL2;ACP1;AHR;AKR1A1;AKR1C1;AKR1C2;AKR1C3;AKR1C4;AKR1C8;AKT1;AKT2;AKT3;ARAF;ARNT;AS3MT;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6;ATP8;BAD;BRAF;CAT;CBR1;CHUK;COX1;COX2;COX3;COX4I1;COX4I2;COX5A;COX5B;COX6A1;COX6A2;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7B2;COX7C;COX8A;COX8C;COXFA4;COXFA4L2;CYBA;CYC1;CYP1A1;CYP1A2;CYP1B1;CYP2E1;CYP2F1;CYTB;cytochrome c oxidase subunit NDUFA4-like;EGF;EGFR;EPHX1;EPHX2;EPHX3;EPHX4;FOS;FOXO3;GRB2;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTT1;GSTT2;GSTT2B;GSTT4;HGF;HIF1A;HMOX1;HRAS;IKBKB;IKBKG;JUN;KEAP1;KRAS;LPO;MAP2K1;MAP2K2;MAP2K4;MAP2K7;MAP3K14;MAP3K5;MAPK1;MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK3;MAPK8;MAPK9;MET;MGST1;MGST2;MGST3;NCF1;NCF2;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFC2-KCTD14;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NFE2L2;NFKB1;NFKBIA;NOX1;NOX4;NQO1;NRAS;P3R3URF-PIK3R3;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PLD1;PLD2;PPIF;PRKCD;PRKD1;PRKD2;PRKD3;PTEN;PTK2;PTPN1;PTPN11;PTPRJ;RAC1;RAF1;RELA;SDHA;SDHB;SDHC;SDHD;SLC25A31;SLC25A4;SLC25A5;SLC25A6;SLC26A1;SLC26A2;SLC26A6;SLC26A9;SOD1;SOD2;SOS1;SOS2;SRC;UQCR10;UQCR11;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ;VDAC1;VDAC2;VDAC3;VEGFA",155,227,TRUE,NA,2.38460901429918e-05,0.00168353396409522,0.575610261071129,0.401549561118539,1.82669546018957,155,"FOS;RELA;COX5A;NDUFC2;ATP5F1B;UQCRHL;MAPK9;NDUFA6;AKR1C1;SOD2;NDUFAB1;NDUFA9;NDUFA12;VDAC1;CYC1;SLC25A5;PIK3R3;UQCRH;KEAP1;PRKD2;GRB2;CYBA;NFKB1;AKT1;COX6A1;IKBKG;COX7A2L;COX8A;EPHX2;COX6C;NDUFV2;NRAS;ATP5PF;COX4I1;MAPK3;MAP2K1;SLC25A6;VDAC2;ATP5MC1;NDUFB7;RAC1;NDUFB6;ACP1;ATP5F1C;NDUFB9;ATP5MC3;ATP5F1A;PIK3CB;NCF1;NDUFS3;PPIF;COX7B;MAPK1;GSTO1;PTPN11;SDHB;ATP5F1E;NDUFB2;NDUFS8;SOD1;UQCR11;ARAF;ATP5PB;NDUFA8;NDUFB11","relapse_up"
